Order ID,Order Date,Customer Name,Category,Product Name,Sales,Profit,Quantity,Discount,City,State
ORD100000,2024-10-16,Diya Sharma,Technology,Keyboard,1262.21,-46.96,2,0.25,Jaipur,Rajasthan
ORD100001,2023-03-31,Pooja Kumar,Furniture,Chair,513.79,2.41,10,0,Jaipur,Rajasthan
ORD100002,2023-07-23,Vikram Kumar,Furniture,Bookshelf,2966.87,783.98,1,0.3,Delhi,Delhi
ORD100003,2024-12-15,Meera Reddy,Office Supplies,Pen,1115.8,271.78,2,0,Kolkata,West Bengal
ORD100004,2023-04-10,Neha Reddy,Technology,Keyboard,4045.28,923.86,9,0,Kolkata,West Bengal
ORD100005,2023-03-22,Vikram Reddy,Technology,Printer,4432.99,278.11,4,0.25,Mumbai,Maharashtra
ORD100006,2023-02-16,Manoj Reddy,Furniture,Table,4339.09,308.32,8,0.25,Pune,Maharashtra
ORD100007,2023-06-16,Neha Reddy,Furniture,Desk,3524.01,731.57,2,0.2,Delhi,Delhi
ORD100008,2024-06-30,Manoj Patel,Office Supplies,Binder,1386.24,438.64,9,0.05,Pune,Maharashtra
ORD100009,2025-05-13,Vivaan Patel,Furniture,Desk,2035.77,-142.94,10,0.25,Pune,Maharashtra
ORD100010,2023-08-06,Sanjay Kumar,Technology,Monitor,757.21,-28.14,9,0.2,Chennai,Tamil Nadu
ORD100011,2025-02-03,Pooja Kumar,Technology,Monitor,1841.88,642.44,3,0.2,Ahmedabad,Gujarat
ORD100012,2023-04-04,Vivaan Sharma,Furniture,Table,3970.79,357.26,2,0.15,Kolkata,West Bengal
ORD100013,2024-09-02,Kavya Singh,Office Supplies,Stapler,4310.86,-408.81,2,0.25,Jaipur,Rajasthan
ORD100014,2025-02-07,Sneha Das,Office Supplies,Notebook,1502.83,-43.33,1,0.25,Chennai,Tamil Nadu
ORD100015,2024-05-27,Rohan Singh,Furniture,Desk,4216.26,541.57,4,0.05,Pune,Maharashtra
ORD100016,2025-02-19,Rohan Singh,Technology,Laptop,3014.78,361.39,2,0.1,Chennai,Tamil Nadu
ORD100017,2023-09-03,,Technology,Laptop,473.98,56.26,2,0.3,Jaipur,Rajasthan
ORD100018,2025-02-23,Ananya Patel,Technology,Monitor,4736.9,-121.7,9,0.3,Lucknow,Uttar Pradesh
ORD100019,2024-03-09,Priya Singh,Technology,Mouse,3579.1,284.71,6,0.15,Jaipur,Rajasthan
ORD100020,2024-04-07,Diya Patel,Furniture,Chair,1723.52,283.93,4,0.2,Hyderabad,Telangana
ORD100021,2023-01-08,Aditya Das,Technology,Laptop,1183.26,363.78,6,0,Jaipur,Rajasthan
ORD100022,2023-09-01,Sneha Das,Office Supplies,Pen,2719.21,613.21,10,0.2,Ahmedabad,Gujarat
ORD100023,2023-09-06,Sanjay Kumar,Furniture,Chair,529.81,49.79,7,0.15,Ahmedabad,Gujarat
ORD100024,2025-06-03,Vivaan Das,Technology,Laptop,350.03,79.7,2,0.05,Hyderabad,Telangana
ORD100025,2023-07-14,Vikram Kumar,Furniture,Bookshelf,958.27,103.67,2,0.15,Jaipur,Rajasthan
ORD100026,2023-04-11,Vivaan Das,Technology,Laptop,4846.53,1535.7,4,0.05,Kolkata,West Bengal
ORD100027,2024-05-12,Sanjay Patel,Office Supplies,Notebook,864.95,-85.66,7,0.1,Ahmedabad,Gujarat
ORD100028,2023-10-20,Meera Das,Technology,Printer,3326.26,395.83,4,0.1,Hyderabad,Telangana
ORD100029,2023-03-01,Pooja Das,Technology,Laptop,3752.48,-278.72,10,0.15,Jaipur,Rajasthan
ORD100030,2025-05-23,Nisha Patel,Furniture,Sofa,446.55,-7.31,10,0,Hyderabad,Telangana
ORD100031,2024-02-18,Diya Singh,Furniture,Sofa,2992.87,534.89,7,0.25,Lucknow,Uttar Pradesh
ORD100032,2024-08-01,Nisha Reddy,Office Supplies,Pen,3365.14,139.26,5,0.15,Delhi,Delhi
ORD100033,2024-11-18,Rahul Kumar,Office Supplies,Notebook,96.11,17.25,10,0,Mumbai,Maharashtra
ORD100034,2024-07-04,Priya Singh,Office Supplies,Pen,4669.63,1384.03,4,0.1,Chennai,Tamil Nadu
ORD100035,2023-06-11,Kavya Singh,Technology,Keyboard,3077.8,1059.55,9,0,Jaipur,Rajasthan
ORD100036,2023-11-03,Diya Patel,Office Supplies,Notebook,4454.08,1042.64,3,0.1,Chennai,Tamil Nadu
ORD100037,2024-09-11,Priya Das,Office Supplies,Pen,3453.11,980.03,9,0.15,Chennai,Tamil Nadu
ORD100038,2025-05-16,Vivaan Sharma,Technology,Monitor,4155.27,-333.09,6,0.3,Delhi,Delhi
ORD100039,2024-10-14,Sneha Patel,Technology,Monitor,2780.82,257.11,1,0,Mumbai,Maharashtra
ORD100040,2024-12-08,Ananya Singh,Furniture,Desk,2933.42,-97.85,3,0,Chennai,Tamil Nadu
ORD100041,2024-01-09,Vivaan Reddy,Furniture,Table,3351.32,198.25,9,0.3,Kolkata,West Bengal
ORD100042,2024-09-27,Ananya Patel,Furniture,Table,4413.01,-392.08,6,0.3,Kolkata,West Bengal
ORD100043,2025-04-01,Manoj Reddy,Furniture,Chair,1943.58,-160.49,8,0.05,Hyderabad,Telangana
ORD100044,2025-04-16,Kavya Reddy,Office Supplies,Pen,1153.47,227.25,7,0.1,Chennai,Tamil Nadu
ORD100045,2025-06-04,Aditya Reddy,Office Supplies,Stapler,2028.41,692.74,9,0.1,Bengaluru,Karnataka
